                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1734,                 5.2462,                 3.8668,                0.00016,                0.02581,                 0.0001,                  3e-05,                 5.1865,                 5.2177,                 3.9692,             0.00036335,             0.00036335,             0.00036335
                      2,                 2.7707,                 3.3625,                 2.9706,                0.44002,                0.12903,                0.08843,                 0.0308,                 3.2972,                 29.993,                 3.4326,             0.00073126,             0.00073126,             0.00073126
                      3,                 2.5701,                  2.892,                 2.7004,                0.00627,                0.10002,                0.00488,                 0.0009,                 4.8822,                    inf,                 12.817,              0.0010967,              0.0010967,              0.0010967
                      4,                 2.3069,                 2.4165,                 2.4954,                0.32958,                0.49737,                0.45322,                 0.2007,                 2.0706,                 8.9592,                 2.3305,                 0.0011,                 0.0011,                 0.0011
                      5,                 2.2211,                 2.1006,                 2.3626,                  0.663,                0.48157,                0.51429,                0.21249,                 2.0376,                 2.0376,                 2.2502,                 0.0011,                 0.0011,                 0.0011
                      6,                 2.0461,                 1.9708,                 2.2826,                0.71904,                0.55228,                0.65281,                0.29763,                 1.8285,                 1.8683,                 2.1887,              0.0010963,              0.0010963,              0.0010963
                      7,                 1.8962,                 1.8131,                 2.1752,                0.43091,                0.69103,                0.65506,                0.35141,                 1.6501,                 1.8627,                 2.0488,              0.0010927,              0.0010927,              0.0010927
                      8,                 1.8244,                 1.6635,                 2.1098,                0.68618,                0.71894,                0.77554,                0.38016,                 1.7489,                 1.7289,                 2.0581,               0.001089,               0.001089,               0.001089
                      9,                 1.7687,                 1.6206,                 2.0588,                0.51643,                0.65547,                0.65033,                0.35212,                 1.6062,                 1.5379,                  1.978,              0.0010853,              0.0010853,              0.0010853
                     10,                 1.6849,                 1.5288,                 1.9727,                0.52227,                0.70339,                0.69191,                0.37758,                 1.5339,                 1.8289,                 1.9136,              0.0010817,              0.0010817,              0.0010817
                     11,                 1.6179,                 1.4282,                 1.9279,                0.65847,                0.74113,                0.74771,                0.40262,                 1.5241,                 1.7689,                 1.9231,               0.001078,               0.001078,               0.001078
                     12,                 1.6187,                 1.4283,                 1.8852,                0.67929,                0.72317,                0.75484,                0.42271,                 1.4408,                 1.3514,                 1.7643,              0.0010743,              0.0010743,              0.0010743
                     13,                 1.5604,                 1.3935,                 1.8337,                0.71247,                0.77647,                0.77151,                0.43478,                 1.3851,                 1.2788,                 1.7373,              0.0010707,              0.0010707,              0.0010707
                     14,                 1.5204,                 1.2998,                 1.8165,                 0.4646,                0.66168,                0.61669,                0.32089,                 1.5587,                 1.8113,                  1.807,               0.001067,               0.001067,               0.001067
                     15,                 1.5061,                 1.3257,                 1.7757,                0.77696,                0.81218,                0.86053,                0.48454,                 1.4696,                 1.3132,                 1.7617,              0.0010633,              0.0010633,              0.0010633
                     16,                 1.5171,                 1.2825,                 1.7493,                0.80314,                0.84612,                0.86398,                0.45337,                 1.4876,                 1.3026,                 1.7088,              0.0010597,              0.0010597,              0.0010597
                     17,                 1.5015,                 1.2863,                 1.7458,                0.81649,                0.82024,                0.87833,                0.52743,                 1.3932,                 1.1492,                  1.668,               0.001056,               0.001056,               0.001056
                     18,                 1.4206,                 1.2756,                 1.6981,                0.52973,                  0.711,                0.73645,                0.42481,                 1.4059,                 1.3667,                 1.6961,              0.0010523,              0.0010523,              0.0010523
                     19,                 1.4643,                 1.2767,                 1.7216,                0.85071,                 0.8071,                0.90298,                0.52408,                 1.3744,                 1.1906,                 1.6762,              0.0010487,              0.0010487,              0.0010487
                     20,                 1.4022,                 1.2209,                 1.6531,                0.73958,                0.85106,                0.89934,                0.55757,                 1.2972,                 1.0251,                 1.5844,               0.001045,               0.001045,               0.001045
                     21,                 1.4485,                 1.2085,                 1.7088,                 0.8676,                0.73435,                0.84746,                 0.4862,                  1.388,                 1.2251,                 1.6228,              0.0010413,              0.0010413,              0.0010413
                     22,                 1.4168,                 1.1601,                 1.6639,                0.73733,                0.73707,                0.83958,                0.49848,                 1.3072,                 1.4213,                 1.5844,              0.0010377,              0.0010377,              0.0010377
                     23,                 1.4386,                 1.1738,                 1.6618,                0.76037,                0.85456,                0.90813,                0.52051,                 1.4029,                   1.03,                 1.7422,               0.001034,               0.001034,               0.001034
                     24,                 1.3687,                 1.1765,                 1.6182,                0.73216,                0.86165,                0.88304,                0.52314,                 1.3719,                 1.0687,                 1.6438,              0.0010303,              0.0010303,              0.0010303
                     25,                 1.3901,                 1.1537,                  1.604,                0.78377,                0.70271,                0.82219,                0.46052,                 1.5066,                 1.2399,                  1.695,              0.0010267,              0.0010267,              0.0010267
                     26,                 1.3337,                 1.0662,                 1.5822,                0.90018,                0.90367,                0.92976,                0.56712,                 1.3997,                 0.9386,                 1.6038,               0.001023,               0.001023,               0.001023
                     27,                   1.36,                 1.0813,                 1.6154,                0.77553,                0.87935,                0.90174,                0.54286,                  1.272,                 1.1577,                 1.5479,              0.0010193,              0.0010193,              0.0010193
                     28,                 1.3489,                 1.0948,                 1.5769,                0.83116,                0.84135,                0.89165,                0.56599,                  1.298,                0.99815,                  1.594,              0.0010157,              0.0010157,              0.0010157
                     29,                 1.3138,                 1.0412,                 1.5557,                0.80466,                0.85226,                0.88384,                0.53079,                 1.3069,                  1.038,                 1.5613,               0.001012,               0.001012,               0.001012
                     30,                 1.3111,                 1.0059,                 1.5363,                0.80596,                0.89066,                0.91466,                 0.6045,                 1.2076,                0.89051,                 1.5049,              0.0010083,              0.0010083,              0.0010083
                     31,                 1.3317,                 1.0595,                  1.559,                0.84069,                 0.8516,                 0.8928,                0.59412,                 1.2123,                 0.9635,                 1.5296,              0.0010047,              0.0010047,              0.0010047
                     32,                 1.2791,                 1.0075,                  1.533,                0.75211,                0.84735,                 0.8813,                0.56166,                  1.238,                 1.0265,                 1.4958,               0.001001,               0.001001,               0.001001
                     33,                 1.3018,                 1.0113,                  1.535,                0.82478,                0.84392,                0.89434,                0.54898,                 1.2811,                  1.031,                 1.5345,             0.00099734,             0.00099734,             0.00099734
                     34,                 1.2674,                0.98039,                 1.5115,                0.78706,                0.87954,                0.89228,                0.58969,                 1.1723,                 1.0092,                 1.4929,             0.00099368,             0.00099368,             0.00099368
                     35,                 1.2755,                0.94718,                 1.5139,                0.82212,                0.87916,                0.92457,                0.56663,                 1.2839,                0.93828,                 1.6054,             0.00099001,             0.00099001,             0.00099001
                     36,                  1.283,                0.94722,                 1.5323,                0.81458,                0.80627,                0.86719,                0.52826,                 1.3732,                 1.0242,                 1.6909,             0.00098635,             0.00098635,             0.00098635
                     37,                 1.3046,                0.99496,                  1.543,                0.82722,                0.82387,                0.88388,                0.52918,                 1.2486,                 1.1672,                 1.5243,             0.00098268,             0.00098268,             0.00098268
                     38,                 1.2848,                0.99225,                 1.5123,                0.81334,                0.78982,                0.82828,                0.48697,                 1.2773,                 1.1227,                 1.5736,             0.00097901,             0.00097901,             0.00097901
                     39,                  1.247,                0.95355,                 1.4832,                0.85549,                0.83258,                0.88808,                0.56096,                 1.2651,                0.90984,                 1.5275,             0.00097535,             0.00097535,             0.00097535
